Fa/C0,e,X1,Y1,X2,Y2
0.014,0.19,1.0,0,0.56,2.3
0.021,0.21,1.0,0,0.56,2.15
0.028,0.22,1.0,0,0.56,1.99
0.042,0.24,1.0,0,0.56,1.85
0.056,0.26,1.0,0,0.56,1.71
0.07,0.27,1.0,0,0.56,1.63
0.084,0.28,1.0,0,0.56,1.55
0.11,0.3,1.0,0,0.56,1.45
0.17,0.34,1.0,0,0.56,1.31
0.28,0.38,1.0,0,0.56,1.15
0.42,0.42,1.0,0,0.56,1.04
0.56,0.44,1.0,0,0.56,1.0
